epoch,train_loss,val_loss,val_iou,val_f1,val_precision,val_recall,learning_rate
1,0.544938,0.583248,0.188567,0.242856,0.250748,0.675142,9.241e-05
2,0.539019,0.57425,0.196813,0.252494,0.251936,0.699837,9.046e-05
3,0.532571,0.569353,0.20336,0.257964,0.26063,0.708808,8.831e-05
4,0.526922,0.56734,0.211365,0.265085,0.279559,0.681888,8.598e-05
5,0.521851,0.560415,0.215428,0.270686,0.272479,0.685448,8.347e-05
6,0.517953,0.560765,0.215027,0.271666,0.278667,0.694996,8.08e-05
7,0.514817,0.554846,0.22084,0.276486,0.280056,0.706419,7.798e-05
8,0.510819,0.555826,0.223203,0.27912,0.29295,0.691351,7.502e-05
9,0.507364,0.551644,0.222961,0.279604,0.275678,0.723428,7.195e-05
10,0.50467,0.546198,0.23126,0.288359,0.286407,0.698495,6.876e-05
11,0.501833,0.543849,0.233004,0.290328,0.28793,0.698461,6.549e-05
12,0.499044,0.543494,0.240794,0.296255,0.313296,0.668031,6.213e-05
13,0.495793,0.541932,0.236278,0.29332,0.298729,0.702193,5.872e-05
14,0.493812,0.539187,0.239453,0.296668,0.30035,0.704931,5.527e-05
15,0.491286,0.538648,0.243416,0.299257,0.30867,0.690664,5.179e-05
16,0.489719,0.535749,0.243413,0.300794,0.30242,0.705801,4.831e-05
17,0.486768,0.534676,0.245711,0.302814,0.305202,0.706572,4.483e-05
18,0.485764,0.536805,0.246604,0.303371,0.310712,0.694056,4.138e-05
19,0.483116,0.532955,0.249025,0.306391,0.312611,0.709802,3.797e-05
20,0.481955,0.533013,0.250314,0.306705,0.315802,0.706957,3.461e-05
21,0.479652,0.532333,0.250794,0.307311,0.31278,0.700962,3.134e-05
22,0.479243,0.532001,0.24965,0.306517,0.308926,0.713847,2.815e-05
23,0.477495,0.530329,0.253327,0.309471,0.317515,0.701843,2.508e-05
24,0.476077,0.529086,0.255303,0.312248,0.319541,0.693675,2.212e-05
25,0.474849,0.529886,0.256188,0.312969,0.322862,0.689811,1.93e-05
26,0.473974,0.527899,0.256344,0.313031,0.32239,0.702033,1.663e-05
27,0.473507,0.529035,0.255525,0.311951,0.320203,0.704305,1.412e-05
28,0.472453,0.528539,0.256266,0.313087,0.322917,0.691375,1.179e-05
29,0.472076,0.525576,0.256727,0.314421,0.317386,0.712476,9.64e-06
30,0.470614,0.526433,0.258104,0.315251,0.321451,0.711082,7.69e-06
31,0.470503,0.526877,0.258455,0.314886,0.324637,0.694391,5.95e-06
32,0.469231,0.525374,0.259291,0.316893,0.322732,0.69999,4.42e-06
33,0.470508,0.526108,0.258674,0.315739,0.322881,0.698535,3.11e-06
34,0.469337,0.525356,0.259501,0.316974,0.3227,0.69834,2.03e-06
35,0.468956,0.525498,0.259458,0.31658,0.3231,0.695231,1.19e-06
36,0.46997,0.527176,0.257828,0.314727,0.322448,0.695251,5.9e-07
37,0.4689,0.526713,0.258253,0.315071,0.323,0.699712,2.2e-07
